title,year,rating,votes,genres,plot,imdb_id
Woman Hungry,1986.0,6.4,81.0,Fantasy,"The Snake Queen returns in this bizarre horror fantasy. In this sequel to ""Nyi Blorong"" (1982 aka ""The Snake Queen"") Brian, a man who believes that money and power will win over the love of his girlfriend. While fleeing through the woods (after attempting rape his now-ex-girlfriend) he stumbles upon the Snake Queen who promises him great wealth if he does her bidding. However the evil hungry snake woman, who wants revenge against the Snake Queen, convinces Brian to trick the Queen by sticking a magic pin in her neck during love making turning her into a snake!—Brian D. Horrorwitz",tt0471871
Straw Dogs,1971.0,7.4,65713.0,"Crime,Drama,Thriller",A young American and his English wife come to rural England and face increasingly vicious local harassment.,tt0067800
Carmen,2022.0,5.7,1327.0,"Drama,Musical",Benjamin Millepied's complete reimagining of CARMEN tells a story through an experimental dreamscape featuring an original score and songs.,tt6875952
The Tango Player,1991.0,6.2,46.0,Drama,"Winter 1968. Historian Dr. Dallow is released from prison. He is still trying to cope with and understand why he was put behind bars for 21 months for defamation of the state. His supposed ""crime:"" for five minutes, he accompanied a cabaret chanson on the piano. The film shows what ""ordinary socialism"" was like, letting the audience feel the threat under which the people in the GDR had to live over many years.—DEFA Film Library",tt0100742
Juarez,1939.0,6.9,2589.0,"Biography,Drama,History,Romance",Louis Napoleon III (Claude Rains) takes advantage of the American Civil War to circumvent the Monroe Doctrine and expand his power by helping Emperor Maximilian von Habsburg (Brian Aherne) to add Mexico to his empire.,tt0031516
Good Morning Miss Dove,1955.0,7.0,1236.0,Drama,"After her admission to the hospital, town-famous stern teacher Miss Dove nostalgically reminisces about her youth and about the pupils she taught over the years.",tt0048130
The Great Santini,1979.0,7.1,7161.0,Drama,"As he approaches manhood, Ben Meechum struggles to win the approval of his demanding alpha male father, an aggressively competitive, but frustrated Marine pilot.",tt0079239
Lady Snowblood 2: Love Song of Vengeance,1974.0,6.3,4377.0,"Drama,Thriller","To avoid a death sentence for her prior acts of bloodshed, the vengeful swordswoman Lady Snowblood is conscripted by the Japanese Secret Police to assassinate political dissidents.",tt0072157
Mysterious Island,2012.0,5.7,114722.0,"Action,Adventure,Comedy,Family,Fantasy,Sci-Fi","Sean Anderson partners with his mom's husband on a mission to find his grandfather, who is thought to be missing on a mythical island.",tt1397514
The Thirteen Chairs,1969.0,5.8,711.0,"Adventure,Comedy",A young playboy inherits 13 antique chairs and decides to sell them for money--then finds out where the real money is.,tt0065361
The Snow Queen,2025.0,,,"Family,Romance","A story about beauty and vanity, a princess and a prince, and about love and its power to raise life from death.",tt29519891
